,Country,Cities,Latitude,Longitude,Minimum temperature,Maximum temperature,Humidity,Cloudiness,Wind Speed
0,ZA,East London,-33.02,27.91,76.23,76.23,38,0,5.26
1,ZA,Kruisfontein,-34.0,24.73,60.22,60.22,69,1,10.02
2,US,Jamestown,42.1,-79.24,57.2,57.2,50,75,16.11
3,CA,Tuktoyaktuk,69.45,-133.04,6.8,6.8,92,40,12.75
4,EC,Palora,-1.7,-77.93,71.6,71.6,94,90,2.24
5,UZ,Yangi Marg`ilon,40.43,71.72,69.8,69.8,43,40,23.04
6,IN,Bārān,25.1,76.52,92.66,92.66,11,0,4.94
7,ID,Lhokseumawe,5.18,97.15,78.84,78.84,85,100,3.18
8,CL,Punta Arenas,-53.15,-70.92,48.0,48.2,87,75,10.29
9,BR,Cururupu,-1.83,-44.87,89.01,89.01,57,19,6.49
10,AU,Mount Isa,-20.73,139.5,57.2,57.2,30,52,4.7
11,RU,Zhigansk,66.77,123.37,16.0,16.0,93,7,6.02
12,ZA,Port Alfred,-33.59,26.89,66.99,66.99,66,0,4.0
13,GL,Tasiilaq,65.61,-37.64,33.8,33.8,64,20,5.82
14,RO,Ioneşti,44.85,24.23,60.8,64.0,63,87,16.11
15,AU,Alice Springs,-23.7,133.88,48.2,48.2,61,0,5.82
16,NZ,Mataura,-46.19,168.86,46.06,46.06,90,14,3.29
17,RU,Provideniya,64.38,-173.3,28.09,28.09,95,56,5.84
18,CN,Korla,41.76,86.15,73.99,73.99,62,74,5.01
19,BO,Riberalta,-10.98,-66.1,89.6,89.6,62,75,13.87
20,PT,Lata,40.16,-8.33,68.0,78.01,74,95,1.99
21,US,Saint Paul Harbor,57.79,-152.41,42.8,42.8,75,90,8.05
22,PH,Basco,20.45,121.97,81.57,81.57,86,17,16.58
23,US,Albany,42.6,-73.97,64.99,68.0,30,37,7.0
24,RU,Lavrentiya,65.58,-171.0,22.32,22.32,93,0,3.27
25,TO,Vaini,-21.2,-175.2,75.2,75.2,83,20,6.93
26,EC,Puerto Ayora,-0.74,-90.35,82.0,82.4,74,20,13.87
27,NZ,Bluff,-46.6,168.33,52.18,52.18,81,4,13.42
28,CA,Amos,48.57,-78.12,59.0,59.0,63,75,3.36
29,PT,Ponta do Sol,32.67,-17.1,64.99,71.6,64,20,12.75
30,AU,Busselton,-33.65,115.33,53.01,53.01,59,56,1.01
31,BR,Coromandel,-18.47,-47.2,74.84,74.84,47,2,4.81
32,US,‘Āhuimanu,21.44,-157.84,70.0,77.0,65,75,14.99
33,ZA,Cape Town,-33.93,18.42,62.01,64.99,88,75,11.41
34,RU,Plastun,44.76,136.29,56.86,56.86,64,100,7.83
35,RU,Sobolevo,54.43,31.9,55.58,55.58,80,66,12.01
36,CA,Torbay,47.67,-52.73,57.99,60.8,51,75,28.86
37,US,Lapeer,43.05,-83.32,68.0,69.8,49,75,14.99
38,MR,Atar,20.52,-13.05,104.68,104.68,7,0,17.36
39,BR,Natal,-5.79,-35.21,84.2,84.2,70,75,9.17
40,PF,Rikitea,-23.12,-134.97,76.37,76.37,75,93,11.65
41,AU,New Norfolk,-42.78,147.06,43.0,46.99,77,38,1.99
42,AU,Carnarvon,-24.87,113.63,64.4,64.4,93,0,5.82
43,NC,Touho,-20.78,165.23,77.4,77.4,79,67,7.87
44,NZ,Kaitangata,-46.28,169.85,52.0,52.0,65,27,1.01
45,AR,Ushuaia,-54.8,-68.3,48.2,48.2,87,40,2.24
46,MX,Cabo San Lucas,22.89,-109.91,84.2,87.01,30,40,3.36
47,RU,Vorobyevka,50.65,40.92,58.57,58.57,70,33,5.12
48,GA,Mayumba,-3.43,10.66,80.31,80.31,87,28,6.15
49,LY,Ubari,26.59,12.78,86.63,86.63,10,31,9.69
50,US,Soddy-Daisy,35.24,-85.19,72.0,79.0,52,31,5.01
51,TZ,Izazi,-7.2,35.73,74.57,74.57,51,32,9.8
52,ZA,Port Elizabeth,-33.92,25.57,66.2,66.2,59,0,14.99
53,US,Hilo,19.73,-155.09,66.0,71.6,78,90,9.17
54,ZA,Bredasdorp,-34.53,20.04,68.0,68.0,64,60,12.75
55,CL,Lebu,-37.62,-73.65,59.61,59.61,80,70,5.44
56,RU,Loukhi,66.08,33.04,34.03,34.03,87,100,8.23
57,AU,Port Lincoln,-34.73,135.87,56.82,56.82,72,34,8.57
58,UZ,Nurota,40.56,65.69,64.4,64.4,77,17,6.93
59,BJ,Porto-Novo,6.5,2.6,86.0,86.0,79,40,11.41
60,BR,Miracema do Tocantins,-9.56,-48.4,88.29,88.29,56,22,4.0
61,ID,Banda Aceh,5.56,95.32,78.89,78.89,79,100,2.75
62,ID,Kupang,-10.17,123.58,78.96,78.96,77,4,11.34
63,RU,Cherskiy,68.75,161.3,23.56,23.56,93,81,4.05
64,CD,Gbadolite,4.28,21.02,80.46,80.46,60,27,2.8
65,IE,Killybegs,54.63,-8.45,51.8,53.6,66,20,8.05
66,KZ,Karatau,43.17,70.47,62.31,62.31,48,99,11.97
67,US,Isla Vista,34.41,-119.86,64.4,72.0,72,1,9.17
68,NO,Mehamn,71.04,27.85,33.58,33.58,89,0,8.95
69,BB,Bathsheba,13.22,-59.52,87.8,87.8,62,40,21.92
70,RU,Dikson,73.51,80.55,12.74,12.74,94,1,8.52
71,PE,Huarmey,-10.07,-78.15,76.33,76.33,62,53,10.29
72,US,Juneau,58.3,-134.42,42.8,45.0,81,75,5.82
73,RU,Zapolyarnyy,69.42,30.81,39.2,39.2,60,100,11.41
74,RU,Nikolskoye,59.7,30.79,60.8,60.8,65,97,8.95
75,NZ,Ahipara,-35.17,173.17,66.51,66.51,85,96,17.05
76,BR,Castro,-24.79,-50.01,71.83,71.83,42,14,8.48
77,VU,Isangel,-19.55,169.27,75.83,75.83,85,46,9.78
78,MV,Hithadhoo,-0.6,73.08,85.35,85.35,76,100,11.9
79,US,Palm Coast,29.59,-81.21,78.01,82.0,24,1,3.36
80,NZ,Tuatapere,-46.13,167.68,51.28,51.28,83,36,6.11
81,RE,Saint-Philippe,-21.36,55.77,63.0,73.4,78,20,5.82
82,PF,Atuona,-9.8,-139.03,81.73,81.73,78,25,20.22
83,BR,Conceição do Araguaia,-8.26,-49.26,93.2,93.2,44,18,5.82
84,RU,Bilibino,68.05,166.44,15.91,15.91,87,0,2.86
85,AU,Codrington,-38.27,141.97,51.69,51.69,72,94,8.63
86,MU,Souillac,-20.52,57.52,75.2,75.2,78,40,12.75
87,AU,Geraldton,-28.77,114.6,62.6,62.6,42,0,11.41
88,ML,Kidal,18.44,1.41,105.84,105.84,6,0,15.95
89,ZA,Hermanus,-34.42,19.23,64.99,64.99,84,31,4.0
90,AU,Launceston,-41.45,147.17,44.6,45.0,76,0,9.17
91,CO,Bahía Solano,6.23,-77.4,84.74,84.74,74,29,4.68
92,US,Kapaa,22.08,-159.32,73.0,75.2,69,1,16.11
93,MU,Grand Gaube,-20.01,57.66,75.0,75.0,77,12,4.0
94,US,Morgan City,29.7,-91.21,75.2,80.01,57,1,9.17
95,RU,Churapcha,62.0,132.43,20.75,20.75,94,0,10.71
96,RU,Krasnomayskiy,57.62,34.41,50.68,50.68,60,73,8.03
97,PT,Ribeira Grande,38.52,-28.7,64.4,64.4,59,20,14.99
98,GH,Esim,4.87,-2.24,85.08,85.08,73,31,9.35
99,AU,Esperance,-33.87,121.9,53.6,53.6,71,0,10.29
100,PH,Gigmoto,13.78,124.39,81.43,81.43,83,99,10.4
101,PH,Dingle,11.0,122.67,80.13,80.13,79,97,6.76
102,IN,Sabrūm,23.0,91.73,75.6,75.6,83,40,3.27
103,GL,Nanortalik,60.14,-45.24,35.91,35.91,87,100,22.95
104,US,Kirby,29.46,-98.39,80.6,86.0,65,75,9.17
105,HK,Hong Kong,22.29,114.16,75.99,78.01,78,61,6.73
106,RU,Chokurdakh,70.63,147.92,1.89,1.89,93,0,2.68
107,ID,Bengkulu,-3.8,102.27,77.52,77.52,84,80,6.33
108,MR,Nouakchott,18.09,-15.98,84.2,84.2,42,0,17.22
109,ID,Mojoagung,-7.57,112.35,75.65,75.65,84,86,3.91
110,AU,Hobart,-42.88,147.33,46.99,50.0,53,90,12.75
111,GL,Upernavik,72.79,-56.15,29.86,29.86,95,100,5.84
112,JP,Shingū,33.73,135.98,57.54,57.54,87,44,6.82
113,PL,Starogard Gdański,53.96,18.53,50.0,57.0,100,55,4.88
114,RU,Kumylzhenskaya,49.88,42.59,66.99,66.99,52,86,4.0
115,RU,Saskylakh,71.92,114.08,11.52,11.52,94,100,4.9
116,RU,Yar-Sale,66.83,70.83,26.31,26.31,97,100,7.43
117,MX,San Patricio,19.22,-104.7,89.76,89.76,26,0,5.91
118,CA,Yellowknife,62.46,-114.35,37.0,37.4,86,75,6.93
119,RU,Srednekolymsk,67.45,153.68,29.1,29.1,98,100,6.82
120,RU,Kirsanov,52.65,42.72,55.15,55.15,82,21,11.39
121,EC,Zamora,-4.07,-78.96,80.6,80.6,54,75,5.82
122,KI,Butaritari,3.07,172.79,82.81,82.81,82,96,19.04
123,RU,Beringovskiy,63.05,179.32,24.03,24.03,97,100,7.9
124,TL,Airai,-8.93,125.41,58.14,58.14,74,68,3.33
125,RU,Zheleznodorozhnyy,55.75,38.0,59.0,59.0,51,23,6.71
126,BS,Marsh Harbour,26.54,-77.06,75.33,75.33,56,0,12.55
127,AR,Mar del Plata,-38.0,-57.56,61.0,62.6,72,40,8.05
128,BR,Boca do Acre,-8.75,-67.4,91.96,91.96,46,75,5.48
129,SE,Piteå,65.32,21.48,37.4,37.4,96,100,8.05
130,RU,Verkhnyaya Inta,65.98,60.31,30.31,30.31,98,98,7.94
131,RU,Sovetskiy,61.36,63.58,38.19,38.19,81,97,5.48
132,PG,Kavieng,-2.57,150.8,82.17,82.17,77,100,6.2
133,RU,Ust-Nera,64.57,143.2,25.59,25.59,89,100,7.7
134,CA,High Level,58.52,-117.14,37.4,37.4,93,90,10.29
135,PH,Cabadiangan,9.75,122.47,80.28,80.28,78,100,1.59
136,PT,Cascais,38.7,-9.42,69.8,72.0,73,20,9.17
137,BR,São Gonçalo do Sapucaí,-21.89,-45.6,74.97,74.97,51,3,5.73
138,AR,Santiago del Estero,-27.8,-64.26,71.13,71.13,52,68,10.78
139,US,Laguna,38.42,-121.42,64.4,68.0,59,1,5.82
140,CL,Constitución,-35.33,-72.42,63.01,63.01,54,90,5.19
141,CL,Coquimbo,-29.95,-71.34,59.0,59.0,77,90,3.36
142,LK,Matara,5.95,80.54,80.83,80.83,86,41,4.59
143,GD,St. George's,12.06,-61.75,86.0,86.0,70,20,20.8
144,CV,São Filipe,14.9,-24.5,79.36,79.36,55,0,10.94
145,CA,Iqaluit,63.75,-68.51,23.0,23.0,73,90,29.97
146,AE,Abu Dhabi,24.47,54.37,88.0,89.6,46,0,6.93
147,CN,Linqiong,30.42,103.46,73.4,73.4,53,0,3.27
148,CA,La Sarre,48.8,-79.2,49.86,49.86,73,100,7.16
149,CA,Norman Wells,65.28,-126.83,33.8,33.8,69,75,3.36
150,BO,San Matías,-16.37,-58.4,91.63,91.63,38,44,4.52
151,BR,Quirinópolis,-18.45,-50.45,81.3,81.3,46,1,1.95
152,US,Lompoc,34.64,-120.46,51.8,60.8,87,75,11.41
153,US,Fortuna,40.6,-124.16,59.0,59.0,82,90,14.99
154,US,Half Moon Bay,37.46,-122.43,57.0,63.0,87,90,5.82
155,IS,Hofn,64.25,-15.21,39.72,39.72,69,98,4.85
156,CN,Caohai,26.87,104.28,56.3,56.3,43,6,2.06
157,RU,Kozhva,65.11,57.05,30.27,30.27,98,99,5.21
158,CL,Ancud,-41.87,-73.82,57.2,60.01,76,90,10.29
159,JP,Muroto-misakicho,33.28,134.15,65.52,65.52,85,91,6.93
160,PG,Namatanai,-3.67,152.43,79.65,79.65,84,100,8.28
161,KZ,Beyneu,45.32,55.2,70.48,70.48,28,10,5.64
162,RU,Talnakh,69.49,88.4,24.8,24.8,73,45,13.42
163,RU,Kungurtug,50.6,97.52,43.34,43.34,36,0,2.15
164,BR,Barra do Garças,-15.89,-52.26,89.6,89.6,40,20,4.7
165,PG,Popondetta,-8.75,148.25,76.35,76.35,81,43,2.82
166,IN,Pāsighāt,28.07,95.33,75.79,75.79,60,100,3.53
167,KE,Marsabit,2.33,37.99,71.24,71.24,54,85,14.25
168,GL,Qaanaaq,77.48,-69.36,23.56,23.56,90,58,1.36
169,CA,Thompson,55.74,-97.86,28.4,28.4,74,90,16.11
170,CN,Zhangye,38.93,100.45,61.18,61.18,19,33,1.74
171,RU,Pevek,69.7,170.31,17.28,17.28,91,0,7.23
172,JP,Hondomachi-hondo,32.45,130.2,69.01,69.01,73,100,11.01
173,RU,Khatanga,71.97,102.5,12.34,12.34,97,91,0.36
174,GL,Aasiaat,68.71,-52.87,32.63,32.63,91,100,13.67
175,MX,Ocampo,21.65,-101.5,73.04,73.04,17,0,2.77
176,CO,Inírida,3.87,-67.92,91.18,91.18,59,87,2.08
177,US,Hermiston,45.84,-119.29,66.2,66.99,37,20,5.82
178,AR,Rawson,-43.3,-65.1,65.37,65.37,42,95,27.65
179,PT,Camacha,33.08,-16.33,68.0,68.0,77,40,12.75
180,NO,Sørland,67.67,12.69,39.67,39.67,84,100,13.2
181,MR,Nouadhibou,20.93,-17.03,71.6,71.6,68,0,21.92
182,JP,Shimoda,34.67,138.95,59.0,59.0,86,35,5.99
183,CA,Pangnirtung,66.15,-65.71,28.4,28.4,86,75,5.82
184,US,Barrow,71.29,-156.79,19.4,19.4,100,90,3.36
185,RU,Leningradskiy,69.38,178.42,18.0,18.0,89,46,1.59
186,US,Pacific Grove,36.62,-121.92,57.0,64.99,72,20,4.7
187,ID,Sibolga,1.74,98.78,78.26,78.26,81,100,3.76
188,MX,Ixtapa,20.7,-105.2,80.6,80.6,65,5,6.93
189,BR,Touros,-5.2,-35.46,84.2,84.2,74,75,11.41
190,GB,Brae,60.4,-1.35,48.2,48.2,66,11,14.99
191,VE,San Cristobal,7.77,-72.22,93.2,93.2,46,40,9.17
192,PT,Lagoa,39.05,-27.98,59.09,59.09,66,59,10.58
193,MX,Puerto Escondido,15.85,-97.07,91.4,91.4,52,5,6.93
194,PF,Tautira,-17.73,-149.15,78.01,78.8,83,40,3.36
195,MX,Guerrero Negro,27.98,-114.06,68.92,68.92,62,64,8.9
196,IT,Laas,46.62,10.7,46.4,62.01,61,75,4.7
197,AU,Mareeba,-17.0,145.43,75.2,75.2,69,75,9.17
198,ID,Manokwari,-0.87,134.08,79.43,79.43,80,53,4.0
199,MN,Darhan,49.49,105.92,44.85,44.85,58,0,5.3
200,AR,Comodoro Rivadavia,-45.87,-67.5,60.8,60.8,48,75,13.87
201,CK,Avarua,-21.21,-159.78,75.2,75.2,88,100,16.11
202,RU,Severo-Kuril'sk,50.68,156.12,38.66,38.66,93,100,17.49
203,NO,Lakselv,70.05,24.97,42.8,42.8,52,62,26.4
204,NZ,Whitianga,-36.83,175.7,66.0,66.0,91,100,8.99
205,BR,Cidreira,-30.18,-50.21,66.18,66.18,69,52,13.33
206,BR,Tefé,-3.35,-64.71,77.0,77.0,94,90,2.24
207,AU,Yulara,-25.24,130.99,53.6,53.6,54,0,5.82
208,RU,Mezen',65.85,44.24,28.06,28.06,96,19,1.74
209,BR,Olinda,-8.01,-34.86,86.0,86.0,66,40,10.29
210,GN,Coyah,9.75,-13.42,80.6,80.6,78,75,11.41
211,BR,Bonfim,3.08,-59.95,91.51,91.51,41,99,5.86
212,BY,Minsk,53.9,27.57,55.4,55.4,93,75,2.24
213,AU,Charters Towers,-20.1,146.27,56.62,56.62,33,0,8.75
214,JP,Nemuro,43.32,145.57,49.35,49.35,85,34,10.63
215,US,Westport,41.14,-73.36,64.99,69.8,30,1,19.46
216,CN,Hefei,31.86,117.28,75.2,75.2,88,0,4.47
217,WS,Lufilufi,-13.87,-171.6,82.0,82.0,88,41,4.21
218,LY,Waddān,29.16,16.14,84.9,84.9,14,10,7.67
219,VU,Lakatoro,-16.1,167.42,77.29,77.29,80,3,6.49
220,NO,Berlevåg,70.86,29.09,34.45,34.45,86,0,10.38
221,NE,Bilma,18.69,12.92,101.1,101.1,7,0,8.59
222,RU,Bagdarin,54.43,113.6,34.9,34.9,47,100,1.83
223,CA,Chapais,49.78,-74.85,48.2,48.2,36,1,12.75
224,CA,Bonavista,48.65,-53.11,46.22,46.22,80,99,19.42
225,BR,Arraial do Cabo,-22.97,-42.03,80.6,84.2,74,40,11.41
226,PE,El Alto,-4.27,-81.21,87.8,87.8,55,29,13.87
227,IN,Tezu,27.92,96.17,74.84,74.84,61,100,3.67
228,US,Robertson,36.52,-86.87,78.01,80.01,41,1,10.29
229,AU,Sawtell,-30.38,153.1,50.0,53.6,71,40,4.7
230,RU,Tilichiki,60.47,166.1,23.63,23.63,96,100,4.0
231,NO,Vigrestad,58.57,5.7,48.0,50.0,71,40,14.99
232,MX,San Quintín,30.48,-115.95,68.88,68.88,62,4,13.69
233,NA,Lüderitz,-26.65,15.16,67.35,67.35,59,0,12.35
234,CU,Yaguajay,22.33,-79.24,83.66,83.66,66,88,13.02
235,NZ,Ngunguru,-35.62,174.5,66.0,66.0,89,88,15.01
236,GB,Penzance,50.12,-5.54,53.6,57.99,58,75,6.93
237,GY,Mabaruma,8.2,-59.78,86.65,86.65,60,71,7.2
238,CF,Sibut,5.72,19.07,85.75,85.75,48,48,4.94
239,GL,Maniitsoq,65.42,-52.9,35.17,35.17,85,100,19.48
240,CN,Dongsheng,39.82,109.98,67.01,67.01,15,95,5.93
241,US,Bethel,41.37,-73.41,64.4,68.0,36,1,10.29
242,IR,Birjand,32.87,59.22,64.4,64.4,39,75,4.7
243,RU,Tiksi,71.69,128.87,3.88,3.88,93,17,6.33
244,US,Cedar City,37.68,-113.06,64.4,64.4,39,1,9.19
245,BR,Coxim,-18.51,-54.76,88.05,88.05,39,0,3.62
246,PH,Marawi,8.0,124.29,75.99,75.99,81,100,5.99
247,CD,Kabalo,-6.05,26.92,74.41,74.41,76,93,2.42
248,ZA,Saldanha,-33.01,17.94,64.4,64.4,82,87,3.36
249,AU,Ulladulla,-35.35,150.47,37.99,53.01,62,22,12.75
250,JP,Hirara,24.8,125.28,76.42,76.42,93,0,13.82
251,US,Sitka,57.05,-135.33,51.8,51.8,57,40,6.11
252,CA,Aklavik,68.22,-135.01,21.2,21.2,67,75,9.17
253,US,Farmington,36.73,-108.22,73.4,73.4,13,1,3.36
254,GL,Ilulissat,69.22,-51.1,35.6,35.6,64,75,8.05
255,MX,Durango,24.83,-104.83,77.83,77.83,15,1,3.49
256,RU,Amga,60.9,131.96,22.6,22.6,93,0,6.38
257,JP,Ojiya,37.3,138.8,57.0,57.0,87,97,2.89
258,CL,Talcahuano,-36.72,-73.12,59.0,59.0,93,90,8.05
259,ID,Majene,-3.54,118.97,79.41,79.41,81,85,4.85
260,GN,Mali,12.08,-12.3,89.65,89.65,18,20,5.41
261,RU,Navlya,52.83,34.5,56.64,56.64,82,63,7.0
262,SA,Buraidah,26.33,43.98,84.2,84.2,20,75,6.93
263,PA,Ailigandí,9.23,-78.02,83.93,83.93,76,57,13.51
264,AO,Soyo,-6.13,12.37,80.24,80.24,85,44,7.78
265,US,Eureka,40.8,-124.16,57.99,62.6,67,90,10.29
266,PG,Porgera,-5.47,143.2,40.89,40.89,46,94,0.31
267,US,Wilmington,34.23,-77.94,70.0,73.99,40,1,5.82
268,GA,Port-Gentil,-0.72,8.78,84.2,84.2,89,75,10.29
269,AR,Río Gallegos,-51.62,-69.22,50.0,50.0,76,70,4.7
270,PF,Faanui,-16.48,-151.75,81.93,81.93,78,30,13.89
271,US,Miles City,46.41,-105.84,62.6,62.6,39,1,3.36
272,MU,Mahébourg,-20.41,57.7,75.2,75.2,78,40,12.75
273,MY,George Town,5.41,100.34,80.01,82.4,88,20,2.51
274,GL,Paamiut,61.99,-49.67,35.92,35.92,82,100,47.42
275,GA,Libreville,0.39,9.45,84.2,84.2,83,20,9.17
276,SB,Buala,-8.14,159.59,81.88,81.88,79,100,7.43
277,RU,Kiknur,57.3,47.2,41.04,41.04,63,3,3.6
278,MU,Bambous Virieux,-20.34,57.76,75.0,75.2,78,40,12.75
279,MX,Anáhuac,27.23,-100.15,87.8,87.8,52,20,10.29
280,EG,Aswān,24.09,32.91,90.34,90.34,13,0,6.29
281,PE,Sechura,-5.56,-80.82,80.78,80.78,53,3,7.25
282,RU,Novoukrainskoye,45.38,40.53,55.72,55.72,89,100,5.64
283,US,North Bend,43.41,-124.22,51.8,57.0,100,90,17.22
284,PT,Vila Franca do Campo,37.72,-25.43,60.8,60.8,77,40,8.05
285,US,College,64.86,-147.8,35.01,39.99,41,1,5.82
286,RO,Surdila-Găiseanca,45.07,27.33,68.0,68.0,52,75,6.93
