,Country,Cities,Latitude,Longitude,Minimum temperature,Maximum temperature,Humidity,Cloudiness,Wind Speed
287,RU,Ostrovnoy,68.05,39.51,30.36,30.36,95,9,8.81
288,IN,Tura,25.52,90.22,72.05,72.05,71,64,3.2
289,ET,Ginir,7.13,40.7,60.87,60.87,56,100,2.44
290,NO,Sistranda,63.73,8.83,42.8,42.8,87,75,8.05
291,VN,Quang Ngai,15.12,108.8,74.66,74.66,88,0,4.61
292,PR,Loíza,18.43,-65.88,84.2,87.01,66,75,4.7
293,AR,San Rafael,-34.62,-68.33,70.79,70.79,35,23,11.79
294,PK,Umarkot,25.36,69.74,89.04,89.04,47,29,20.15
295,CL,Carahue,-38.7,-73.17,55.4,55.4,100,90,5.82
296,RU,Deputatsky,69.3,139.9,4.17,4.17,88,72,2.77
297,PT,Mata,40.68,-7.46,73.99,73.99,50,99,4.0
298,ER,Edd,13.93,41.69,83.84,83.84,81,99,7.2
299,NA,Henties Bay,-22.12,14.28,67.03,67.03,60,0,12.59
300,JP,Itoman,26.12,127.67,73.0,73.4,94,75,11.41
301,PG,Aitape,-3.14,142.35,79.65,79.65,79,44,4.34
302,NG,Wamba,8.93,8.6,90.21,90.21,47,77,3.65
303,SJ,Longyearbyen,78.22,15.64,21.2,21.2,62,20,12.75
304,GL,Qasigiannguit,68.82,-51.19,35.6,35.6,64,75,8.05
305,RU,Koslan,63.46,48.9,29.93,29.93,95,95,3.87
306,US,Lamont,35.26,-118.91,68.0,75.0,49,0,1.99
307,IN,Iāwar,23.0,76.5,88.2,88.2,14,0,9.73
308,BR,Planaltina,-15.45,-47.61,80.6,82.99,39,20,5.82
309,JP,Hasaki,35.73,140.83,59.0,59.0,93,2,3.36
310,NL,Borger,52.92,6.79,54.0,54.0,70,13,4.0
311,NO,Havøysund,71.0,24.66,41.0,41.0,56,0,18.34
312,ID,Waingapu,-9.66,120.26,77.86,77.86,79,24,8.5
313,PG,Lorengau,-2.02,147.27,82.15,82.15,80,92,6.64
314,ZA,Duiwelskloof,-23.69,30.14,65.91,65.91,43,8,1.61
315,IT,Alghero,40.56,8.32,68.0,68.0,72,20,11.41
316,KE,Voi,-3.39,38.56,73.94,73.94,67,41,8.7
317,RU,Kaduy,59.2,37.15,40.82,40.82,70,92,6.89
318,OM,Sur,22.57,59.53,87.89,87.89,57,7,9.69
319,CA,Fort Nelson,58.81,-122.7,53.6,53.6,46,40,5.82
320,IT,Taormina,37.85,15.29,66.99,69.01,72,51,5.01
321,CN,Mergen,49.18,125.22,39.06,39.06,57,94,7.99
322,TD,Massakory,13.0,15.73,96.66,96.66,22,45,8.59
323,RU,Svetlaya,46.54,138.33,47.91,47.91,66,82,3.6
324,CF,Ndélé,8.41,20.65,84.43,84.43,41,94,3.22
325,BR,Vila Velha,-20.33,-40.29,84.0,86.0,58,20,11.41
326,FO,Klaksvík,62.23,-6.59,46.4,46.4,70,16,10.29
327,RU,Anadyr,64.75,177.48,8.01,8.6,84,18,2.24
328,RU,Iskateley,67.68,53.15,24.39,24.39,98,99,7.2
329,YE,Marzuq,14.4,46.47,81.21,81.21,37,79,7.65
330,PE,Saquena,-4.67,-73.52,83.28,83.28,86,50,2.77
331,CA,Lake Cowichan,48.83,-124.05,48.99,51.8,87,90,5.82
332,ES,Gijón,43.54,-5.66,63.0,66.0,79,99,1.99
333,RU,Sibay,52.72,58.67,54.14,54.14,69,88,4.41
334,SE,Halmstad,56.67,12.86,50.0,53.01,76,95,4.7
335,ID,Labuhan,-6.88,112.21,78.19,78.19,86,100,7.76
336,AU,Kununurra,-15.77,128.73,59.0,59.0,54,28,2.24
337,CD,Likasi,-10.98,26.73,66.25,66.25,61,1,3.6
338,CN,Kumul,42.8,93.45,72.16,72.16,14,98,16.75
339,US,Sterling,39.01,-77.43,66.2,71.01,34,20,3.36
340,GF,Cayenne,4.93,-52.33,82.4,82.4,88,76,9.17
341,CA,Prince Rupert,54.32,-130.32,46.4,46.4,71,75,4.7
342,ID,Kawalu,-7.38,108.21,73.49,73.49,81,100,0.89
343,IE,Skibbereen,51.55,-9.27,50.0,50.0,76,75,10.29
344,LY,Jalu,29.03,21.55,79.41,79.41,23,0,15.14
345,GL,Narsaq,60.92,-46.05,37.4,37.4,90,75,1.12
346,MN,Khovd,48.01,91.64,53.26,53.26,23,0,0.94
347,CN,Wenling,28.37,121.36,69.01,69.01,94,100,4.85
348,SS,Gogrial,8.53,28.1,88.99,88.99,38,72,7.74
349,ES,Muros,42.78,-9.06,63.0,66.0,91,96,7.0
350,NO,Varhaug,58.61,5.65,48.0,50.0,71,40,14.99
351,BR,São Miguel,-5.47,-35.37,84.2,84.2,74,75,11.41
352,US,Redlands,34.06,-117.18,64.99,75.0,49,5,3.8
353,MY,Mersing,2.43,103.84,78.8,78.8,94,99,5.82
354,RU,Troitskoye,52.98,84.68,50.76,50.76,52,25,3.91
355,CA,Port Hardy,50.7,-127.42,50.0,50.0,87,90,6.93
356,SE,Trelleborg,55.38,13.16,48.2,51.01,81,75,6.93
357,GB,Atherton,53.52,-2.49,55.0,59.0,54,5,4.0
358,CN,Kuandian,40.73,124.78,57.22,57.22,83,94,2.89
359,US,Sunrise Manor,36.21,-115.07,80.01,80.6,14,1,3.36
360,FR,Plérin,48.54,-2.78,51.8,53.01,81,100,2.24
361,MX,Castaños,26.78,-101.42,89.6,91.99,27,20,4.21
362,IN,Khatīma,28.92,79.97,83.12,83.12,43,18,10.36
363,CA,Outlook,51.5,-107.05,60.01,60.01,29,0,7.0
364,CF,Bossangoa,6.49,17.46,78.17,78.17,59,45,7.58
365,RO,Asău,46.43,26.4,60.01,60.01,71,53,2.98
366,CA,Matagami,49.75,-77.63,46.4,46.4,42,1,5.82
367,ZM,Mwinilunga,-11.74,24.43,65.55,65.55,59,1,3.91
368,US,Saint George,37.1,-113.58,75.2,82.0,22,1,4.7
369,AU,Sydney,-33.87,151.21,51.01,54.0,53,0,8.01
370,NG,Kafanchan,9.58,8.3,77.68,77.68,61,99,2.3
371,NO,Vardø,70.37,31.11,37.56,37.56,81,0,11.74
372,IN,Dhone,15.42,77.88,90.95,90.95,29,62,10.11
373,FI,Hanko,59.83,22.95,45.0,46.99,92,100,4.65
374,AR,San Vicente,-26.62,-54.13,72.82,72.82,27,0,4.43
375,TC,Cockburn Town,21.46,-71.14,80.42,80.42,78,24,14.79
376,CN,Panzhihua,26.59,101.71,70.27,70.27,44,60,2.21
377,UY,Rocha,-34.48,-54.33,65.16,65.16,63,5,8.68
378,CA,Powell River,49.85,-124.54,50.0,51.8,87,90,10.29
379,US,Pineville,31.32,-92.43,80.01,80.6,54,1,8.05
380,AR,Morón,-34.65,-58.62,63.0,64.99,68,40,8.05
381,OM,Muscat,23.61,58.59,89.6,89.6,62,81,4.7
382,US,Glenwood Springs,39.55,-107.32,46.4,66.0,45,40,10.29
383,US,Homer,59.64,-151.55,39.0,41.0,86,40,5.82
384,BR,Eldorado,-23.79,-54.28,84.13,84.13,44,29,4.61
385,RU,Remontnoye,46.56,43.65,66.0,66.2,63,20,13.42
386,RU,Belyy Yar,53.6,91.39,46.4,46.4,48,59,3.22
387,HR,Korčula,42.96,17.14,63.66,63.66,78,14,7.4
388,IN,Annāmalainagar,11.4,79.73,84.87,84.87,75,14,4.7
389,MZ,Angoche,-16.23,39.91,76.71,76.71,75,22,9.31
390,GB,Bridlington,54.08,-0.19,51.8,54.0,76,42,10.29
391,FR,Châtellerault,46.8,0.53,60.01,60.8,93,90,10.29
392,PH,City of San Pedro,14.35,121.02,84.0,86.0,66,40,5.82
393,PE,Pisco,-13.7,-76.22,71.01,73.4,69,59,8.05
394,CO,Riohacha,11.54,-72.91,86.0,86.0,70,20,11.41
395,AO,Mossamedes,-15.2,12.15,79.57,79.57,62,0,6.35
396,ML,Araouane,18.9,-3.53,102.78,102.78,7,0,13.56
397,BR,Imbituba,-28.24,-48.67,75.2,75.2,38,0,11.41
398,RE,Saint-Joseph,-21.37,55.62,71.6,71.6,78,20,5.82
399,PE,Hualmay,-11.1,-77.61,76.01,76.01,61,16,13.09
400,MN,Erdenet,49.03,104.08,43.27,43.27,36,0,4.52
401,CN,Yichang,30.71,111.28,74.12,74.12,45,9,4.43
402,NC,Vao,-22.67,167.48,76.28,76.28,84,20,16.08
403,AU,Emerald,-23.53,148.17,48.99,55.4,45,27,8.05
404,RU,Tim,51.62,37.12,59.0,59.0,58,40,6.71
405,IE,Midleton,51.92,-8.18,50.0,52.0,76,75,10.29
406,CA,Flin Flon,54.77,-101.86,32.0,32.0,73,90,9.17
407,RU,Kachug,53.96,105.88,45.91,45.91,62,98,5.12
408,US,Elko,41.0,-115.5,57.99,62.01,36,1,3.98
409,LY,Mizdah,31.45,12.98,85.19,85.19,12,21,5.75
410,IS,Vestmannaeyjar,63.44,-20.27,44.6,44.6,48,20,17.22
411,AO,Menongue,-14.66,17.69,68.02,68.02,36,5,2.84
412,JP,Katsuura,35.13,140.3,59.0,64.99,88,2,5.99
413,GB,Margate,51.38,1.39,57.0,61.0,47,9,1.01
414,CN,Lanzhou,36.06,103.79,64.0,71.01,15,51,2.98
415,AZ,Shirvan,39.95,48.9,61.12,61.12,75,48,7.07
416,US,Saint Anthony,45.02,-93.22,69.01,72.0,30,1,13.87
417,US,Blue Springs,39.02,-94.28,78.01,79.0,50,1,13.87
418,MV,Kulhudhuffushi,6.62,73.07,85.41,85.41,74,11,12.24
419,CG,Sibiti,-3.68,13.35,75.38,75.38,81,54,2.15
420,SA,Najrān,17.49,44.13,89.6,89.6,35,20,11.41
421,RU,Lazarev,52.23,141.51,29.25,29.25,95,82,9.66
422,KZ,Derzhavīnsk,51.1,66.32,60.84,60.84,37,13,6.02
423,NO,Andenes,69.31,16.12,42.8,42.8,73,100,8.05
424,CM,Limbe,4.02,9.21,84.2,89.6,66,40,4.7
425,SS,Bentiu,9.23,29.83,88.45,88.45,41,88,6.89
426,LY,Sirte,31.21,16.59,73.08,73.08,43,43,8.84
427,BF,Banfora,10.63,-4.77,102.09,102.09,24,76,3.6
428,PW,Kloulklubed,7.04,134.26,80.6,80.6,88,90,5.82
429,US,Kahului,20.89,-156.47,66.0,73.4,78,40,12.75
430,US,Franklin,39.97,-83.02,68.0,72.0,45,40,16.11
431,RU,Kamenka,51.32,42.77,62.01,62.01,57,37,8.01
432,PF,Moerai,-22.43,-151.33,76.35,76.35,73,97,16.8
433,JP,Iyo,33.75,132.7,61.0,61.0,85,100,4.43
434,AU,Clarence Town,-32.58,151.78,50.0,54.0,57,0,11.41
435,AU,Swan Hill,-35.34,143.55,44.98,44.98,86,17,7.4
436,PH,Tabuk,17.42,121.44,75.87,75.87,74,4,1.74
437,PK,Keti Bandar,24.14,67.45,82.2,82.2,80,9,15.75
438,PK,Turbat,26.0,63.04,86.36,86.36,55,19,4.97
439,CN,Shitanjing,39.23,106.34,67.28,67.28,22,73,3.94
440,ID,Meulaboh,4.14,96.13,77.99,77.99,83,96,3.89
441,NL,Sassenheim,52.23,4.52,53.01,55.0,71,20,12.75
442,RU,Mesyagutovo,55.53,58.25,43.09,43.09,62,100,7.36
443,AU,Nelson Bay,-32.72,152.15,51.8,54.0,57,0,11.41
444,VN,Bac Lieu,9.29,105.72,82.89,82.89,79,25,8.57
445,AU,Coolum Beach,-26.53,153.1,48.99,51.01,81,0,8.12
446,BR,Humberto de Campos,-2.6,-43.46,86.34,86.34,71,46,5.41
447,SO,Mogadishu,2.04,45.34,83.28,83.28,79,78,15.39
448,CN,Genhe,50.78,121.52,29.75,29.75,60,98,3.56
449,AU,Kiama,-34.68,150.87,53.01,55.0,65,0,11.99
450,BR,Jacareacanga,-6.22,-57.75,93.2,93.2,48,81,4.54
451,BR,Itupeva,-23.15,-47.06,81.0,82.4,37,40,12.75
452,RU,Egvekinot,66.32,-179.17,12.18,12.18,88,45,0.63
453,BW,Tsabong,-26.02,22.4,68.16,68.16,17,19,1.92
454,UY,Chui,-33.7,-53.46,64.92,64.92,63,67,9.89
455,BR,Três Passos,-27.46,-53.93,73.99,73.99,49,0,3.0
456,RU,Sosnovo-Ozerskoye,52.52,111.54,35.83,35.83,64,81,6.82
457,CA,Sault Ste. Marie,46.52,-84.33,55.4,55.4,62,75,8.05
458,IN,Dwārka,22.24,68.97,81.57,81.57,85,0,14.0
459,ID,Payo,-3.75,103.64,73.99,73.99,90,98,1.57
460,US,Nome,64.5,-165.41,28.4,30.99,79,1,3.36
461,AU,Ballina,-28.87,153.57,51.8,59.0,58,0,14.99
462,CN,Yumen,40.28,97.2,62.74,62.74,22,100,15.73
463,SB,Honiara,-9.43,159.95,75.2,75.2,100,20,6.17
464,BR,Breves,-1.68,-50.48,84.65,84.65,77,85,4.03
465,RU,Ubinskoye,55.31,79.68,47.21,47.21,69,23,8.32
466,RU,Suntar,62.14,117.63,27.41,27.41,92,0,2.17
467,PF,Vaitape,-16.52,-151.75,82.8,82.8,78,28,13.8
468,NU,Alofi,-19.06,-169.92,69.8,69.8,100,14,2.24
469,NA,Oranjemund,-28.55,16.43,61.27,61.27,75,0,7.0
470,LT,Šeduva,55.77,23.77,55.4,55.4,71,63,4.7
471,SA,Umluj,25.02,37.27,78.85,78.85,55,1,8.32
472,US,Avera,33.19,-82.53,75.2,75.99,36,1,4.7
473,BR,Santa Maria,-29.68,-53.81,68.0,68.0,49,20,5.82
474,LT,Žemaičių Naumiestis,55.36,21.7,52.99,52.99,87,92,6.2
475,MR,Adrar,20.5,-10.07,99.39,99.39,7,0,9.13
476,MZ,Inhambane,-23.86,35.38,77.0,77.0,73,40,6.04
477,RU,Tazovsky,67.47,78.7,22.46,22.46,98,38,7.18
478,JP,Sakaiminato,35.55,133.23,60.8,60.8,93,75,2.24
479,TH,Ranong,9.97,98.63,80.69,80.69,79,79,2.46
480,ZA,George,-33.96,22.46,62.6,62.6,82,38,3.36
481,SA,Sakakah,29.97,40.21,82.4,82.4,12,0,10.29
482,IL,Kiryat Gat,31.61,34.76,57.99,69.01,78,7,5.86
483,AR,Necochea,-38.55,-58.74,61.0,61.0,81,32,5.01
484,DK,Skagen,57.72,10.58,52.0,52.0,83,14,11.99
485,CN,Xiongyue,40.18,122.12,60.98,60.98,78,73,14.65
486,RU,Aktash,50.3,87.73,36.18,36.18,35,1,1.74
487,RU,Kiyasovo,56.35,53.12,44.01,44.01,58,2,6.78
488,KH,Kampot,10.62,104.18,78.8,78.8,88,20,2.24
489,GL,Sisimiut,66.94,-53.67,36.28,36.28,80,100,4.85
490,CD,Inongo,-1.95,18.27,76.3,76.3,81,71,3.11
491,IR,Karaj,35.84,51.01,57.2,64.4,71,75,11.41
492,AF,Kunduz,36.73,68.86,68.95,68.95,58,100,10.54
493,FO,Argir,62.0,-6.77,46.4,46.4,70,87,10.29
494,PE,Moyobamba,-6.05,-76.97,77.11,77.11,65,72,3.56
495,DM,Pointe Michel,15.25,-61.38,86.0,89.6,52,75,11.41
496,GB,Lochgilphead,56.04,-5.43,57.0,59.0,44,1,12.75
497,PH,Latung,5.5,120.88,83.32,83.32,76,75,6.49
498,IN,Rāmtek,21.4,79.33,87.8,87.8,27,20,1.36
499,ML,Sokolo,14.73,-6.12,108.7,108.7,6,0,11.61
500,BR,Rio Claro,-22.41,-47.56,84.2,84.2,32,40,13.87
501,NZ,Dunedin,-45.87,170.5,54.0,55.99,81,0,3.0
502,ID,Banjar,-8.19,114.97,82.4,82.4,94,20,4.7
503,RU,Arman',59.7,150.17,31.17,31.17,94,100,22.57
504,BR,Guarujá,-23.99,-46.26,73.4,79.0,83,75,11.41
505,GB,Exeter,50.72,-3.53,55.99,59.0,61,98,1.01
506,TJ,Kŭlob,37.91,69.78,68.0,68.0,77,90,4.47
507,US,San Jose,37.34,-121.89,61.0,66.0,63,75,4.81
508,IN,Kavaratti,10.57,72.64,85.14,85.14,78,88,15.3
509,CN,Luorong,24.41,109.61,75.18,75.18,83,1,2.42
510,CI,Tabou,4.42,-7.35,85.06,85.06,74,28,9.98
511,US,Scottsbluff,41.87,-103.67,50.0,51.8,100,90,10.29
512,BR,Bonito,-21.12,-56.48,93.78,93.78,31,28,2.21
513,BR,Alta Floresta,-9.88,-56.09,91.4,91.4,49,20,9.17
514,US,Alamogordo,32.9,-105.96,72.0,84.99,9,1,4.7
515,US,Portland,45.52,-122.68,54.0,55.99,87,90,4.7
516,FI,Hämeenlinna,61.0,24.46,46.0,46.99,77,100,4.94
517,SV,Acajutla,13.59,-89.83,84.99,87.8,40,86,7.87
518,US,Yarmouth,41.71,-70.23,59.0,62.6,36,1,11.41
519,RU,Shirokiy,49.76,129.52,36.75,36.75,65,2,11.18
520,IR,Ramsar,36.92,50.64,69.8,69.8,64,75,4.7
521,KZ,Zhezkazgan,47.8,67.71,62.46,62.46,32,100,12.33
522,EE,Karla,59.37,24.93,51.01,51.8,87,90,8.05
523,NP,Tulsīpur,28.13,82.3,82.0,82.0,44,47,1.99
524,PT,Vila,42.03,-8.16,64.0,64.0,83,100,8.99
525,ID,Ambon City,-3.7,128.18,82.0,82.0,88,53,3.83
526,MV,Ugoofaaru,5.67,73.0,85.8,85.8,74,14,13.18
527,TZ,Chake Chake,-5.25,39.77,78.33,78.33,86,88,11.63
528,CN,Jiuquan,39.74,98.52,61.54,61.54,25,83,12.28
529,RU,Petropavlovsk-Kamchatskiy,53.05,158.65,35.6,35.6,100,75,6.71
530,US,Medford,42.33,-122.88,55.4,63.0,66,90,4.9
531,TD,Bokoro,12.38,17.06,99.88,99.88,16,63,4.5
532,CD,Gemena,3.25,19.77,80.53,80.53,57,2,2.59
533,PE,Paramonga,-10.67,-77.83,75.27,75.27,64,26,12.15
534,BR,Senador José Porfírio,-2.59,-51.95,82.67,82.67,72,100,2.91
535,ID,Tual,-5.67,132.75,83.59,83.59,79,100,12.95
536,RU,Yerbogachën,61.28,108.01,31.69,31.69,75,29,5.86
537,BR,Cabedelo,-6.98,-34.83,87.8,87.8,62,20,11.41
538,CA,Saint-Augustin,51.23,-58.65,36.91,36.91,98,100,6.82
539,SL,Bonthe,7.53,-12.51,85.95,85.95,72,88,10.22
540,ID,Tomohon,1.33,124.84,77.0,77.0,94,20,1.36
541,US,Lexington,37.99,-84.48,73.4,77.0,49,1,20.8
542,PG,Kimbe,-5.55,150.14,76.87,76.87,90,100,3.0
543,PK,Mailsi,29.8,72.18,93.51,93.51,19,0,11.12
544,GR,Methóni,36.82,21.7,66.2,70.0,59,40,8.05
545,JP,Wakkanai,45.41,141.67,47.68,47.68,91,65,18.92
546,BR,Maragogi,-9.01,-35.22,83.01,83.01,74,82,9.6
547,PG,Vanimo,-2.67,141.3,79.83,79.83,80,75,3.11
548,BR,Itapirapuã,-15.82,-50.61,85.08,85.08,46,2,2.64
549,CD,Kinshasa,-4.32,15.32,87.8,89.6,62,20,3.36
550,US,Makakilo City,21.35,-158.09,71.6,75.2,73,90,4.7
551,NZ,Napier City,-39.48,176.92,66.99,66.99,61,100,5.99
552,US,Sioux City,42.5,-96.4,60.8,62.01,67,90,5.82
553,AR,Concepción del Uruguay,-32.48,-58.24,69.01,69.01,57,0,4.0
554,RU,Aldan,58.6,125.39,19.22,19.22,91,100,3.76
555,NZ,Kaeo,-35.1,173.78,66.0,66.0,89,95,15.01
556,IE,Kinsale,51.71,-8.53,50.0,52.0,76,75,10.29
557,NL,Den Helder,52.96,4.76,50.0,52.0,81,90,16.11
558,TN,Menzel Kamel,35.62,10.67,80.6,82.99,36,40,5.82
559,NG,Yaan,7.38,8.57,88.45,88.45,62,74,6.91
560,RU,Neryungri,56.67,124.65,14.05,14.05,88,37,3.69
561,MY,Tumpat,6.2,102.17,82.0,82.4,88,20,2.24
562,BR,Itapuranga,-15.56,-49.95,81.9,81.9,47,0,2.17
563,BR,Alto Araguaia,-17.31,-53.22,81.88,81.88,41,7,2.75
564,RU,Polyarny,69.2,33.45,41.0,41.0,48,88,4.47
565,ZW,Chipinge,-20.19,32.62,58.73,58.73,42,2,3.42
566,PE,San Vicente de Cañete,-13.08,-76.38,75.79,75.79,59,59,8.52
567,RU,Almaznyy,48.04,40.05,66.2,66.2,48,20,8.95
568,IR,Mehrān,33.12,46.16,64.4,64.4,42,21,4.7
569,RU,Bogorodsk,56.1,43.52,51.8,53.01,37,11,6.71
570,BR,Penápolis,-21.42,-50.08,82.02,82.02,41,0,4.72
571,US,Collierville,35.04,-89.66,77.0,79.0,65,20,17.22
572,US,Great Falls,47.5,-111.3,55.4,60.01,28,1,4.7
573,RU,Mel'nikovo,56.56,84.08,39.0,46.0,81,60,5.08
574,BR,Salinópolis,-0.61,-47.36,84.61,84.61,72,19,10.38
575,IN,Leh,34.17,77.58,45.72,45.72,13,97,2.68
576,FR,Vendôme,47.8,1.07,57.2,59.0,67,100,4.7
577,CN,Dengzhou,37.81,120.75,61.43,61.43,83,39,8.93
578,TJ,Ayní,39.39,68.54,54.93,54.93,33,65,5.59
